,x0,x1,x2,k0,k1,k2,k3,k4,k5
19,72,99,79,0.05454555789321898,0.0026136128878002955,0.8825944949332848,0.05383355236926641,0.005305056706937583,0.0011077252094919318
20,77,102,83,0.0844797345227031,0.007460151326293699,0.3863476160829163,0.5025984272902284,0.014712434658975506,0.004401636118883026
21,72,97,79,0.07883914447072654,0.0033889066093473583,0.8537366555574312,0.05555590468630816,0.007128389764489271,0.0013509989116974415
22,64,84,72,0.7794878428211134,0.016369443900021003,0.12276399356131368,0.034670509016878834,0.04401561582005648,0.002692594880616702
23,63,86,71,0.8707639408862938,0.008912116086137683,0.07693465197479911,0.020059749248096163,0.021832738534162618,0.0014968032705106624
24,66,93,73,0.7888679245064154,0.004399413761819144,0.17382627130322642,0.02239902598933315,0.009399028838541882,0.0011083356006639485
25,65,89,71,0.9289417714661502,0.0033291166938254047,0.04910836279379455,0.010364383860952635,0.0075903860619219235,0.0006659791233553394
26,65,89,71,0.9289417714661502,0.0033291166938254047,0.04910836279379455,0.010364383860952635,0.0075903860619219235,0.0006659791233553394
27,62,86,68,0.8204410845309732,0.015443737064795859,0.09827386187916472,0.028301687507357867,0.03522787082100493,0.0023117581967033044
28,69,93,75,0.45377578224763715,0.007324264029199446,0.4709174978193024,0.049705073817148365,0.016162702507533058,0.002114679579179435
29,69,92,77,0.4062776025375388,0.007972091592740782,0.508284622812047,0.05680573887539087,0.018304634886125482,0.0023553092961570397
30,65,92,72,0.9232228509548716,0.0022644443874464,0.059645113376413594,0.009486156046213943,0.0048601465810083665,0.0005212886540460373
31,68,95,75,0.3422376858576442,0.005499177245118446,0.5966119022150042,0.04240771921990414,0.011589736962826891,0.0016537784995020646
32,67,94,73,0.6359614176211067,0.0060465029046327225,0.30861243662249777,0.03505808594695746,0.012700855307614767,0.0016207015971907777
33,72,99,79,0.05454555789321898,0.0026136128878002955,0.8825944949332848,0.05383355236926641,0.005305056706937583,0.0011077252094919318
34,69,99,80,0.007166959827170128,0.00029683751098113755,0.986283565695082,0.005530839405877856,0.0006021560937045932,0.00011964146718413666
35,61,84,69,0.7671308986981206,0.022539039542390404,0.11609826419539704,0.0358128273428882,0.055323097058594624,0.0030958731626091252
36,64,90,72,0.9812341202344309,0.0007586216646101232,0.013561484599936172,0.0025897936033546605,0.001698234284736367,0.0001577456129318967
37,68,94,76,0.3570402444686852,0.005701022152992232,0.5797656045815898,0.04340863591072444,0.012380413269014099,0.001704079616994215
38,70,100,78,0.02566477828751204,0.0010758501964606502,0.951292553780747,0.019406312331052656,0.0021261578906311613,0.00043434751359678204
39,68,103,80,0.063335364872075,0.0034113482173612265,0.8401194071857657,0.08515814787188848,0.006461562566077295,0.001514169286832306
40,70,98,78,0.028216541116088966,0.0010054193621572372,0.9534429080438482,0.014896075779183567,0.002057626595355918,0.0003814291033660832
41,73,99,81,0.07610647249466924,0.004381566912538159,0.7885847622973342,0.1199215121202983,0.008989872252718155,0.0020158139224420277
42,67,100,79,0.021661377488650903,0.0008130043700913761,0.9627344568816145,0.012877626532772952,0.0016007993023504617,0.00031273542451976837
43,72,99,79,0.05454555789321898,0.0026136128878002955,0.8825944949332848,0.05383355236926641,0.005305056706937583,0.0011077252094919318
