,x0,x1,x2,k0,k1,k2,k3,k4,k5,k6,k7,k8
73,213,96,5,0.019151442755747504,0.10292814739366107,0.00440859802581025,0.8557572038688838,0.0024693838474219936,0.004577376999544267,0.005878119408185652,0.0024711451502672,0.002358582550478532
74,208,91,6,0.00766983821169718,0.028556744104043612,0.0016092148062450554,0.9557957721161269,0.0008954398287566506,0.001704411582916396,0.002050483192989752,0.0008884150261357778,0.0008296811310885462
75,199,84,9,0.0017169617388323156,0.003654890752654869,0.0003077205299142949,0.9931396324074772,0.00016865605409746966,0.0003342446599770667,0.0003638742877911071,0.0001651513952940243,0.00014886817396165178
76,183,79,8,0.057566152235072034,0.05620166462593116,0.007736187483491337,0.8500112757562166,0.004108763245207203,0.008976530069940902,0.008029625293553489,0.003958846676345362,0.0034109546142418318
77,170,70,12,0.21807745635216558,0.09309494108628698,0.020503846326158703,0.5955505815321748,0.010654446418986106,0.02519788163407699,0.01869641237099314,0.010037200009012922,0.008187234270144866
78,39,91,251,0.006021640839093773,0.004772855805281884,0.03884167888698926,0.0049714014385779945,0.0805773003589734,0.006315710830378167,0.013306586083501196,0.8245841759613359,0.02060864979586851
79,98,45,38,0.5937593123936241,0.044957531288161864,0.06581716260844994,0.08634510754627789,0.028880402536272488,0.1157939010449149,0.026245398823628197,0.023838517428497314,0.014362666330173414
80,132,44,7,0.9492264700657046,0.007659915184966915,0.004538159435739135,0.021253933611949497,0.0023419115103991577,0.008711999921215383,0.002799459189665955,0.0020350082361768698,0.0014331428441826174
81,128,36,7,0.9942868973511882,0.0008228838714627607,0.0005486976002485246,0.0021479527392654365,0.00028933561944053326,0.0011657809274268907,0.0003227331446718829,0.00024653313408742325,0.00016918561220805395
82,121,32,5,0.9931308970958543,0.0009319681207582137,0.0006969782446550998,0.0022779489415875732,0.0003703378932520721,0.0016832356184382578,0.0003881193455042309,0.0003112272572999146,0.0002092874826504354
83,114,28,2,0.9494563917586784,0.006368662005964174,0.005248704239147216,0.01470821656733699,0.0028219846245535005,0.014718698555538782,0.0027886159559864696,0.0023412268735026835,0.0015474994192920444
